Geneid,SSCF31.bam,SSCF32.bam,SSCF33.bam,SSCF38.bam,SSCF39.bam
cyfip2,592,1027,360,932,736
cygb2,28,48,11,32,30
cylda,591,951,453,443,775
cyldb,48,72,49,24,52
cyldl,397,522,264,382,610
cysltr1,4,0,0,0,0
cyth1a,1716,1798,1535,1510,1411
cyth2,1042,885,1047,1468,1099
cyth3b,582,442,415,398,475
cyth4b,59,29,50,30,24
cytip,1113,314,653,227,253
czib,999,1023,962,1134,959
d2hgdh,499,929,369,1038,683
daam1a,480,318,269,305,345
dab1a,170,259,84,145,264
dab2,11708,12669,9653,12229,13528
dab2ipa,138,123,62,139,124
dachc,3026,858,609,499,999
dachd,606,427,458,443,402
dact2,1002,724,619,489,1096
dad1,3246,2508,4250,2705,2639
dag1,6552,5025,5236,4294,5746
dagla,216,372,210,165,242
daglb,868,842,778,589,730
dalrd3,573,855,438,533,663
dand5,0,0,0,0,0
dap,1560,1456,1603,1727,1394
dap1b,3946,3388,3795,3246,3192
dap3,1951,1971,1450,1600,2028
dapk1,1923,1125,1178,1107,1395
dapk2a,4,10,4,2,6
dapk2b,93,25,57,341,527
dapk3,411,637,388,447,538
dars1,2492,2880,1938,2066,2117
dars2,2916,2596,2558,2804,2957
daw1,50,40,50,46,12
daxx,1271,1733,876,1240,1506
dazap1,666,637,457,592,570
dazap2,1311,1372,1403,1311,1010
dazl,351,256,346,466,454
dbf4,92,101,59,61,111
dbf4b,2301,2713,1954,2508,2578
dbh,2,4,0,0,0
dbn1,368,377,266,259,239
dbndd1,10,0,11,0,0
dbnlb,4295,3448,2663,2094,2372
dbpa,642,958,880,925,1415
dbpb,131,170,125,151,65
dbr1,489,646,299,438,601
dbt,1056,1199,675,853,1257
dbx1a,51,115,149,76,95
dcaf11,719,1268,682,621,762
dcaf12,1594,1456,1412,1425,1133
dcaf13,3108,2771,2634,2760,3029
dcaf15,2407,2657,1945,2665,2689
dcaf17,381,432,518,341,415
dcaf6,1010,1325,965,1084,953
dcaf7,4704,4201,3824,4050,4506
dcaf8,596,1056,957,1044,973
dcakd,264,346,215,273,351
dcbld2,1982,2811,1393,1569,2002
dcc,18,257,38,4,2
dcdc2b,0,0,0,1,0
dchs2,24,22,4,29,24
dck,1006,860,712,759,1259
dclk1a,20,52,18,26,43
dclk1b,34,50,29,46,31
dclk2a,1228,1474,723,1034,1993
dclk3,152,282,162,279,123
dclre1a,33,100,35,61,21
dclre1b,1120,1687,850,807,1042
dclre1c,105,203,79,73,39
dcn,842,578,472,351,749
dcp1a,552,631,524,477,532
dcp1b,587,570,427,632,608
dcp2,470,446,647,342,284
dcps,2627,4056,2485,2920,2515
dcst1,6,18,18,20,13
dcst2,1,2,0,8,30
dct,0,4,2,2,2
dctd,1582,1056,1443,807,1468
dctn1a,1384,1451,792,1082,1574
dctn1b,156,262,71,271,212
dctn2,6071,5391,3902,5163,5731
dctn3,6962,7873,4686,8239,7455
dctn4,2469,2887,1965,2863,2694
dctn5,6066,4423,6648,5652,3785
dctn6,687,770,890,544,452
dctpp1,850,1224,837,816,1246
dcun1d1,1937,2595,1810,1451,1596
dcun1d2b,702,654,556,581,502
dcun1d3,3048,3051,2578,2757,2545
dcun1d4,1416,1881,1340,1302,1425
dcxr,497,339,238,343,253
dda1,1975,1490,1168,1487,1304
ddah1,3970,2877,2437,2707,2938
ddah2,6295,7036,3068,4077,7908
ddb1,662,1613,789,1289,882
ddb2,2306,1046,1103,1369,1550
ddc,89,47,65,35,111
ddhd1a,1492,2150,1758,1821,1630
ddhd1b,22,28,20,12,11
ddhd2,1656,1255,1781,1049,1077
ddi2,1176,1191,912,1221,1017
ddias,843,826,515,623,872
ddit3,52,68,39,38,46
ddit4,1161,1673,527,1022,1340
ddo,1190,1429,1049,759,1628
ddost,5519,4484,3716,3607,5325
ddr1,3887,4642,2879,3138,4305
ddr2a,122,65,96,70,108
ddr2l,1199,778,1155,563,1002
ddt,496,384,547,1128,522
ddx10,1197,1713,806,912,1518
ddx11,15,42,10,10,29
ddx1,1578,3083,1379,2282,1700
ddx18,1950,3525,2224,2767,2633
ddx21,3460,5892,4222,3917,4296
ddx23,1550,2993,1027,1773,2498
ddx24,4029,4713,3524,3548,5148
ddx27,2139,3050,1936,2102,2529
ddx28,2042,2869,1870,2104,1274
ddx31,704,1524,728,1120,911
ddx3xa,7885,9993,7997,8076,9123
ddx42,680,827,629,637,940
ddx43,1833,1596,966,1524,1755
ddx46,2003,3276,5434,4351,2232
ddx47,2436,7012,1546,1705,3042
ddx4,8369,3525,2288,2201,8271
ddx49,4155,2842,3414,3251,3412
ddx51,2252,3135,2066,2258,2812
ddx52,2228,2371,1905,2599,2207
ddx5,3006,3589,1888,2699,3799
ddx54,1569,1230,1240,1885,2099
ddx55,1091,5180,789,1124,1362
ddx56,2513,3417,1810,2777,3302
ddx59,1210,1540,1100,1069,1233
ddx6,4641,5510,3760,5436,6193
deaf1,72,93,67,94,99
decr1,466,406,284,304,646
decr2,1299,1629,845,1214,1753
dedd1,5290,4365,4198,3832,4988
dedd,218,235,195,258,278
def6a,117,104,146,48,66
def6c,51,100,32,62,62
def8,1893,2139,1247,1766,1275
degs1,174,322,189,227,228
degs2,3869,3596,3136,3849,4127
dele1,209,494,321,406,312
dennd10,601,459,582,543,452
dennd11,913,776,953,928,764
dennd1a,499,176,530,251,325
dennd1b,436,552,528,335,534
dennd1c,12,10,1,6,6
dennd2b,1140,746,549,450,867
dennd2c,1597,1367,1325,1218,1277
dennd3a,1365,1396,1451,1012,1438
dennd4a,143,363,175,236,119
dennd4c,956,932,495,854,1023
dennd5a,1785,1672,1314,1602,1770
dennd6aa,458,615,511,805,706
dennd6b,201,206,136,125,273
denr,4579,4457,3709,3739,5383
depdc1a,6036,5224,4667,4858,4833
depdc5,440,780,544,416,548
depdc7a,2,12,3,50,11
deptor,375,552,316,357,413
dera,205,228,229,263,187
derl1,1685,1528,1580,1207,1860
derl2,1960,1933,2169,2241,1981
desi1a,1165,1404,1063,1043,2539
desi2,543,612,468,545,608
desma,0,0,0,0,0
det1,387,600,294,367,250
dexi,126,194,130,78,114
dffa,65,69,84,38,86
dffb,1169,1433,1167,1455,1536
dgat1a,5292,5652,4857,5004,5164
dgat1b,1296,1608,930,885,1605
dgat2,1577,2844,2280,1771,2364
dgcr2,921,1127,854,1212,1378
dgcr6,1490,1985,1527,969,478
dgcr8,2616,2847,1782,1745,2281
dgkaa,120,53,18,101,125
dgkab,2118,1820,1051,1644,1480
dgkb,20,30,27,34,116
dgke,97,288,32,263,144
dgkh,27,28,24,16,20
dgki,274,472,1366,1138,690
dgkza,1920,2213,1435,1413,1439
dguok,745,736,929,647,720
dhcr24,1074,1517,797,767,1204
dhcr7,181,144,182,90,96
dhdds,2152,2411,1565,1561,2039
dhfr,3100,2963,3312,3417,3235
dhh,22,4,14,0,9
dhodh,788,684,371,605,563
dhps,239,447,340,283,405
dhrs1,1198,1361,1343,1426,1138
dhrs11a,1050,1017,1067,913,1117
dhrs12,2828,2688,2159,2230,2665
dhrs12la,6,4,2,2,12
dhrs13b.2,174,248,174,156,174
dhrs3b,70,249,32,130,209
dhrs4,1035,1414,693,430,1551
dhrs7,673,1216,586,625,750
dhrs7b,2654,2103,1751,992,2677
dhrs7cb,2,0,6,0,0
dhrsx,189,230,111,138,370
dhtkd1,1016,1345,594,1319,1341
dhx15,571,695,522,658,790
dhx16,1161,1673,888,1424,1282
dhx29,468,588,316,386,1147
dhx30,1277,1946,1033,1262,2335
dhx33,414,334,418,419,222
dhx34,312,508,357,557,358
dhx35,2329,1455,1886,1972,1907
dhx36,514,715,542,509,475
dhx37,1147,1394,960,1023,1296
dhx38,1821,1633,1559,1127,1375
dhx40,1723,1890,1294,1390,1562
dhx57,753,707,364,673,737
dhx58,71,99,58,39,66
dhx8,2769,3236,1364,2067,3199
dhx9,324,346,230,311,327
diaph2,211,157,206,137,181
dicer1,416,505,424,439,408
dimt1l,3448,3941,3124,3279,3346
dio1,1054,1162,781,775,918
dio2,67,108,118,76,34
dio3a,533,367,454,397,683
dip2a,1265,1103,953,933,1086
dip2bb,953,909,547,757,992
dip2ca,371,540,401,423,517
dipk1aa,694,574,576,409,544
dipk1b,601,676,363,230,491
dipk1c,105,69,80,24,96
dipk2ab,2422,1835,1614,2101,2757
diras1b,20,8,21,8,8
dis3,1139,1309,1098,1112,1341
dis3l2,345,343,674,684,197
dis3l,666,527,436,561,591
disc1,44,63,38,20,65
disp1,1302,1751,951,1403,1334
disp2,0,2,1,0,2
disp3,86,49,29,32,69
dixdc1a,65,41,32,29,48
dkc1,4379,4477,2652,3425,4045
dkk2,8,29,8,4,16
dkk3a,29,26,35,80,11
dla,13,29,14,22,30
dlat,1815,2267,1670,1759,2214
dlb,1181,1210,779,787,908
dlc1,1908,1452,1094,162,1008
dlc,224,198,158,941,232
dldh,1878,2729,1302,2007,2264
dlec1,39,167,39,55,59
dlg1b,1751,2862,1092,1892,2400
dlg3,2333,2648,2836,3661,2658
dlg5a,1258,722,651,1026,1143
dlgap1a,356,294,365,259,192
dlgap1b,888,945,792,677,799
dlgap2a,74,65,70,56,46
dlgap3,0,4,0,2,0
dlgap4a,109,419,126,104,121
dlgap4b,903,1023,646,492,673
dlgap5,2380,2797,1800,1980,2297
dll4,18,24,22,0,17
dlst,3920,4132,2811,4923,4185
dlx1a,1124,1204,1484,1133,723
dlx2a,126,52,98,90,20
dlx3b,0,2,0,0,2
dlx4b,46,42,55,32,42
dlx5a,0,0,0,0,0
dlx6a,0,0,0,0,0
dmac1,1067,891,801,932,1105
dmac2,884,564,566,644,747
dmac2l,351,383,305,342,220
dmap1,2573,2950,2088,2176,1464
dmbx1a,99,126,105,63,65
dmc1,6,16,12,4,17
dmd,961,1111,610,986,1224
dmgdh,0,2,7,2,2
dmrt1,2,1,0,4,1
dmrt2a,116,54,66,104,71
dmrt3a,0,0,2,0,0
dmrta2,35,25,32,14,41
dmtf1,297,906,402,854,411
dmtn,790,880,489,895,719
dmxl2,1208,1271,1076,1439,1507
dna2,890,1093,741,595,1279
dnaaf10,581,839,410,656,795
dnaaf11,10,12,6,10,18
dnaaf2,528,1052,581,485,508
dnaaf4,0,1,0,0,0
dnaaf6,0,0,0,0,0
dnah1,462,157,221,20,193
dnah2,91,205,125,121,229
dnah5,1,0,1,0,1
dnah6,2,3,4,24,1
dnah7,12,4,2,14,7
dnah9,514,501,312,254,532
dnah9l,14,6,0,6,6
dnai1.2,2,0,0,0,0
dnai2b,0,0,0,0,0
dnai3,133,191,145,99,186
dnai4,25,8,14,20,12
dnai7,8,0,2,6,2
dnaja,1103,2446,1037,1478,3386
dnaja1,1695,2595,1364,4357,2447
dnaja2a,3014,4439,3675,2678,4308
dnaja2b,3411,3684,2412,3300,3015
dnaja3a,2763,3617,2243,2710,3116
dnajb11,2754,3652,2235,2666,3130
dnajb12a,649,1079,783,974,757
dnajb12b,410,394,386,335,299
dnajb13,10,0,12,10,2
dnajb14,2030,2337,1632,1854,1779
dnajb1a,1776,1984,1931,2105,1656
dnajb1b,1014,2362,736,2438,2119
dnajb2,870,1033,947,920,1205
dnajb4,396,259,220,269,163
dnajb5,8,9,6,15,5
dnajb6a,608,838,656,691,690
dnajb6b,2371,2375,1325,2012,2526
dnajb9a,1148,1128,850,745,511
dnajb9b,861,1110,841,1030,1015
dnajc10,207,373,331,360,598
dnajc11a,1535,1282,1528,2272,1433
dnajc12,173,2797,158,246,1932
dnajc14,1721,255,766,930,293
dnajc15,1815,1271,1423,1576,955
dnajc17,1795,1558,705,1497,1859
dnajc18,2488,1575,1389,806,1408
dnajc1,827,2319,2194,2310,2884
dnajc19,1918,1694,3121,2748,1467
dnajc21,1564,2522,1813,2206,2001
dnajc2,2080,0,875,10,14
dnajc22,6,2742,16,2467,2362
dnajc24,1759,1597,2201,1372,1322
dnajc25,1090,1045,1084,1186,1518
dnajc27,290,300,135,223,224
dnajc28,199,312,217,431,254
dnajc30b,925,2076,1463,1900,1288
dnajc3a,3418,4055,2769,3177,3286
dnajc3b,627,854,669,879,787
dnajc4,739,611,797,574,677
dnajc5aa,2278,1470,1951,1356,1054
dnajc5ga,2184,1755,2002,1957,1760
dnajc6,418,464,355,360,329
dnajc7,1058,2196,829,560,1556
dnajc8,3923,4104,4024,3633,2838
dnajc9,3416,3235,2064,2704,3089
dnal1,63,36,44,22,31
dnase1,2,2,0,2,8
dnase1l1l,0,0,0,0,0
dnase1l4.1,69,58,57,33,45
dnase2b,54,16,22,12,4
dnd1,1168,1168,810,958,1005
dner,0,4,0,6,2
dnlz,1896,1814,1673,1665,1843
dnm1a,2,4,12,6,2
dnm1l,1455,2453,1162,1286,1709
dnm2a,3450,3144,2341,2787,3137
dnm3a,284,350,173,178,331
dnmbp,793,1052,951,1447,824
dnmt1,4070,4374,2330,3336,4876
dnpep,1230,1985,785,1390,1162
dnph1,97,512,247,112,73
dntt,8,1,1,6,1
dnttip2,2105,3045,1616,1941,1511
doc2a,22,13,12,11,9
doc2b,19,9,2,4,25
doc2d,418,368,252,375,296
dock10,950,2273,1203,1344,1421
dock11,413,320,169,335,245
dock1,614,977,620,691,613
dock3,3049,146,172,26,88
dock4b,150,182,127,119,113
dock5,387,438,284,309,294
dock7,1220,1226,710,836,1314
dock8,289,321,233,191,157
dohh,1021,1877,801,1446,1687
dok1b,211,407,238,302,308
dok2,140,113,62,63,153
dok4,70,103,153,68,65
dok6,19,26,106,2,16
dok7b,506,1196,123,258,1366
dolk,164,250,151,194,108
dolpp1,2779,2656,2548,2279,2828
dop1a,1764,1448,1333,1470,1392
dop1b,2343,2962,1868,2358,1828
dot1l,544,588,352,435,610
dpagt1,897,817,927,738,753
dpcd,501,510,478,370,448
dpep1,25,21,48,20,6
dpf1,22,24,11,14,20
dpf2,875,996,847,755,889
dpf2l,116,239,59,119,232
dpf3,286,429,271,418,433
dph1,748,1546,715,1236,1093
dph2,810,1479,1419,1178,1189
dph3,2279,2337,3065,2861,2037
dph5,1262,2309,1047,1704,1385
dph6,694,842,458,275,509
dph7,586,613,396,472,523
dpm1,1456,1310,1463,1294,1857
dpm2,310,264,216,164,352
dpm3,101,187,75,112,115
dpp3,3708,5257,3330,3670,4286
dpp6a,1174,1102,803,1087,819
dpp6b,2098,2020,2233,2021,1952
dpt,10,13,12,8,11
dpy19l1l,1138,831,757,863,1325
dpy19l3,418,383,268,338,543
dpy30,361,276,312,372,245
dpydb,212,49,181,60,47
dpys,0,0,6,2,6
dpysl2a,237,292,198,413,332
dpysl3,101,38,50,32,91
dpysl5a,2079,2998,2042,2482,3153
dr1,1084,2212,1352,2463,1416
dram1,83,77,133,207,134
dram2b,793,1106,929,755,499
drap1,290,457,295,486,374
draxina,258,343,92,745,656
drc1,67,36,24,68,61
drc3,64,36,42,34,48
drd1b,3,0,0,6,2
drd2a,351,526,314,542,636
drd2l,244,256,226,251,294
drd3,0,4,2,0,3
drd4b,12,16,34,32,20
drd5a,2,0,0,2,0
drd6b,0,0,0,0,0
drg1,2505,2764,2037,2578,2372
drg2,2395,2484,2268,2155,2904
drgx,0,0,0,0,0
drosha,553,1259,661,786,806
drp2,343,326,193,112,455
dsc2l,193,110,127,101,242
dscama,0,7,0,4,0
dscamb,225,86,198,21,103
dscc1,520,450,453,363,412
dse,87,146,80,50,72
dsg2l,1248,712,585,608,671
dspa,205,119,141,70,226
dst,618,789,410,345,454
dstyk,1214,1636,1010,1208,1260
dtd1,250,242,279,311,198
dtd2,2204,1479,1440,1612,2036
dthd1,2,2,3,0,0
dtl,1723,2033,1335,1439,1574
dtna,128,268,331,257,198
dtnba,974,1102,1016,634,870
dtnbb,27,23,157,37,31
dtnbp1a,4677,3615,4294,2678,3027
dtwd1,1680,1211,1831,1714,1424
dtwd2,1984,1622,1423,1538,2140
dtx1,1085,806,847,1198,1408
dtx2,1380,1086,1201,941,1069
dtx3,895,1061,984,1005,1058
dtx4a,313,312,167,201,370
dtymk,148,288,168,319,264
duox,1487,1270,456,1207,1436
duox2,646,619,834,335,411
dus1l,1097,1099,996,774,894
dus2,655,1011,668,776,954
dus3l,461,420,309,369,413
dusp10,441,353,433,318,378
dusp1,1195,1034,1535,1147,748
dusp11,842,1673,821,1149,1024
dusp12,1227,1058,1338,11,20
dusp14,20,18,21,710,765
dusp16,559,841,526,975,813
dusp22a,2115,1904,2233,1671,1989
dusp23b,1227,1444,1301,916,1767
dusp27,44,65,20,67,335
dusp28,78,89,76,51,55
dusp3a,7,6,4,0,4
dusp4,39,44,23,34,16
dusp5,8,6,4,36,16
dusp6,471,440,407,439,203
dusp7,113,243,150,123,130
dusp8a,373,628,514,558,480
dut,3761,3983,2209,4393,3411
dvl1a,482,550,455,519,590
dvl2,2752,2909,2563,2607,3061
dydc2,8,8,0,0,5
dym,805,1081,697,621,1066
dync1h1,2249,3292,1526,1932,3115
dync1i2a,2301,2293,1937,1841,2409
dync1li1,3140,3727,2541,3449,3740
dync1li2,3253,3641,2922,2897,3370
dync2i1,179,654,252,240,206
dync2i2,193,211,215,245,198
dynll1,35025,26298,37321,29040,32380
dynll2a,2586,3455,3633,2440,3328
dynlrb1,2552,2383,2868,2496,2406
dynlt1b,285,359,253,246,248
dynlt2b,126,214,193,162,64
dynlt3,800,664,819,706,856
dyrk1ab,570,867,580,757,954
dyrk1b,2241,1416,2046,2174,2125
dyrk2,219,250,232,179,266
dyrk3,4282,4209,3246,3927,4170
dyrk4,12,10,6,12,6
dysf,40,44,58,25,67
dytn,5,0,34,1,2
dzank1,245,423,388,623,292
dzip1,206,427,396,437,343
e2f1,280,441,454,445,361
e2f2,437,553,327,320,526
e2f3,4234,4149,3567,3713,3024
e2f4,569,471,545,549,383
e2f6,855,837,553,796,936
e2f7,12,27,8,13,4
e2f8,138,167,223,63,81
e4f1,190,350,129,137,145
eaf1,10,8,6,4,3
eaf2,4469,4862,4189,4178,4498
eapp,2249,2840,2283,2514,2404
ears2,500,297,290,444,286
ebag9,737,1004,1232,876,766
ebf1a,6,2,4,7,10
ebf2,4530,3019,4325,1969,6060
ebf3b,2,4,6,4,0
ebna1bp2,1648,1881,2237,2031,1324
ebp,2168,2013,3319,2094,1812
ecd,1216,1463,933,885,1195
ece1,1032,1440,952,993,984
ece2b,323,426,259,300,443
ech1,1996,1425,1333,1979,2045
echdc1,95,225,80,200,388
echdc2,891,577,733,663,961
echdc3,361,336,319,365,278
echs1,3902,2920,3003,3197,3679
eci1,3866,3519,3964,3526,3416
eci2,773,975,955,1100,1119
ecm2,357,105,215,91,215
ecpas,4265,3508,2650,2692,3348
ecrg4a,229,163,94,123,421
ecsit,243,364,200,251,187
eda,510,595,413,600,901
edar,596,516,282,420,288
edaradd,2,0,0,0,0
edc3,3072,2646,2075,1783,2810
edc4,3172,2355,3035,2398,3144
edem1,1514,1560,1163,1167,1306
edem2,878,1594,807,1056,1296
edem3,1594,1632,976,1211,1394
edf1,3168,3602,2563,3751,4714
edn1,8,8,6,8,8
edn3b,24,12,6,2,8
ednraa,70,48,57,16,84
ednrba,69,107,55,35,36
edrf1,872,915,835,728,1105
eea1,981,724,661,611,775
eed,2546,2002,1463,1534,2263
eef1a1l3,17409,23052,12236,21112,27767
eef1akmt1,1069,1270,1055,1150,1260
eef1akmt2,597,426,603,373,639
eef1b2,9445,7477,9069,9314,9284
eef1db,1879,2306,1412,2298,2557
eef1e1,777,1060,730,1032,505
eef1g,12242,11409,12146,10633,12806
eef2k,1589,2927,1742,2048,1569
eef2kmt,1634,1753,1631,1421,1746
eefsec,1471,1811,1060,1135,1437
eeig1a,1433,1252,1449,1512,1581
eeig1b,183,252,135,124,214
eepd1,16,24,6,10,20
efcab14,423,939,354,520,416
efcab2,27,26,39,10,35
efemp1,109,54,108,58,278
efemp2a,1,10,8,11,11
efhb,49,148,59,125,120
efhc1,111,97,180,43,97
efhc2,2,0,2,0,3
efhd1,2067,2701,2307,2537,1993
efl1,1784,1593,1344,1587,1526
efna1a,1023,987,1606,556,721
efna1b,855,514,406,544,462
efna2a,661,931,1018,770,832
efna3a,874,931,795,1024,939
efna3b,127,238,102,102,125
efna5b,466,800,344,270,902
efnb1,373,298,167,147,122
efnb2a,18,25,22,14,12
efnb3b,648,872,360,454,485
efr3a,636,1106,516,712,609
efs,2099,1827,1524,2140,1964
eftud2,705,741,427,579,729
egf,0,0,0,2,0
egfl6,27,4,10,6,30
egfl7,143,111,104,57,176
egfra,658,627,736,369,711
egln1a,2034,2086,1757,1904,2130
egln2,447,583,848,467,323
egr1,22,24,12,24,12
egr3,657,328,771,649,664
ehbp1,1070,1580,781,1300,1489
ehbp1l1a,592,465,598,472,665
ehd1a,658,1016,462,496,612
ehd2b,210,169,193,173,352
ehd3,1175,814,616,321,1176
ehd4,476,326,304,453,499
ehf,0,0,0,0,0
ehhadh,64,28,69,61,135
ehmt1a,309,350,390,307,481
ehmt1b,1172,940,848,897,1007
ehmt2,297,449,274,419,393
ei24,264,323,143,171,218
eif1,11852,11607,8258,10483,12372
eif1ad,2246,2079,2364,2252,1731
eif1axb,4535,5378,3647,3761,3976
eif2a,850,1391,1254,1523,909
eif2ak1,1151,1404,1163,1021,1066
eif2ak2,48,74,14,49,44
eif2ak3,1358,1458,1574,1654,1584
eif2ak4,1147,1058,980,739,1423
eif2b1,761,857,556,888,801
eif2b2,1644,2101,1317,1880,1950
eif2b3,1359,1966,1286,1827,830
eif2b4,658,825,496,769,919
eif2b5,1232,1440,1181,1082,1651
eif2d,965,1187,840,813,935
eif2s1b,2861,3304,3094,3533,2966
eif2s2,3071,6048,3510,4262,3700
eif2s3,3593,4093,2340,2974,4563
eif3ba,2424,4363,1716,3507,3560
eif3c,1102,1842,966,1425,1771
eif3d,1981,3511,2100,3632,3793
eif3eb,2305,2438,2301,2300,2385
eif3f,2323,2543,1375,1699,2793
eif3g,2570,3659,2237,2789,2960
eif3i,1842,2384,2548,2418,2871
eif3jb,4897,5715,4368,3352,4769
eif3k,2966,2701,2705,3461,2976
eif3m,3736,2936,3578,3730,4075
eif3s10,5134,7463,3784,4444,5780
eif3s6ip,2343,2958,2338,2809,3065
eif4a2,1711,3403,1848,3255,2207
eif4a3,2131,1759,1494,1904,2843
eif4ba,5462,8853,4216,6344,6720
eif4e1c,494,818,651,473,864
eif4e2,569,626,434,645,737
eif4ea,3018,4193,3081,3630,3950
eif4eb,224,510,380,335,362
eif4ebp1,3264,3302,3005,2769,3458
eif4ebp2,954,827,1016,706,678
eif4ebp3l,2298,2256,1842,2999,2638
eif4enif1,5468,4944,4077,5672,5464
eif4g1a,1193,1107,995,1430,1388
eif4g2a,8816,8071,7909,7735,9478
eif4g2b,1475,3503,1336,2275,1972
eif4g3a,3106,3302,2877,2948,2981
eif4h,1404,2542,1158,1649,1612
eif5,8456,9738,5204,9521,10847
eif5a2,428,1416,802,1008,1264
eif5b,2293,2876,2152,2632,3064
eif6,3186,4035,2217,2606,4162
eipr1,718,795,712,715,529
ela3l,163,226,95,92,113
elac1,341,745,364,435,347
elac2,1908,2100,1224,1986,2569
elapor1,637,451,310,378,488
elapor2a,2121,3513,1844,2735,3139
elavl1a,89,155,94,83,62
elavl2,2472,3192,1829,2062,3903
elavl3,16,22,18,6,15
elavl4,82,75,19,65,74
elf1,2509,2586,2956,2629,2517
elf2b,329,514,565,481,391
elf3,8,29,24,60,48
elfn1a,0,0,0,0,0
elfn1b,24,63,31,34,149
elfn2a,357,342,213,253,340
elk1,376,382,295,272,407
elk3,142,90,111,114,138
ell2,2038,1475,1867,1445,1568
ell,3339,3453,2848,2267,2532
elmo1,1207,1183,1494,1378,1169
elmo2,917,1085,1091,846,806
elmo3,1464,1899,1528,2093,2735
elmod1,58,34,7,38,46
elmod2,579,357,342,366,451
elmod3,1257,1043,829,1117,1423
elna,57,73,64,35,58
elnb,10,1,12,4,2
eloa,389,466,303,325,434
eloal,4829,6892,5676,7266,5725
elof1,57,32,24,66,22
elovl1a,7293,4423,4375,4563,6057
elovl1b,3732,4293,2922,3500,3110
elovl5,33,6,17,3,15
elovl6,6737,6066,5245,5803,7103
elovl7a,31615,30517,15275,19541,32130
elovl8a,135,49,13,97,271
elovl8b,1685,1461,1569,1794,1471
elp1,1646,1629,1208,1445,1719
elp2,981,901,773,817,822
elp3,983,954,917,1097,930
elp4,711,768,602,966,756
elp5,2289,2146,1817,1787,2661
elp6,408,462,355,519,464
emb,32,38,26,38,23
emc10,1629,2742,1099,1884,2162
emc1,2139,3316,1402,1613,2287
emc2,2163,2161,2373,1934,1571
emc3,2401,2413,2134,941,2757
emc4,2597,3217,1597,1874,3375
emc6,2984,4096,3628,5220,3160
emc7b,3305,3775,3408,2844,3894
emc8,1742,1535,2061,1372,1560
emc9,1488,1207,1255,1104,1434
emd,1724,1344,2295,1565,1468
emg1,2847,2436,2747,2723,2363
emid1,1453,564,360,646,1023
emilin1a,40,38,44,52,65
emilin2a,8,2,0,2,14
emilin2b,125,291,90,94,191
eml1,781,870,865,368,942
eml2,1949,3402,1510,1964,2798
eml3,353,171,312,126,206
eml5,75,66,80,28,62
eml6,398,531,283,383,381
emp1,154,102,94,42,131
emp2,170,96,145,62,184
emp3b,4,2,0,12,0
emsy,754,1463,618,635,642
emx1,0,4,0,6,1
emx2,67,41,55,36,49
en1b,0,0,2,4,0
en2a,10,2,2,2,4
enah,141,425,39,189,114
enam,0,2,0,0,0
enc1,180,335,347,274,521
enc3,105,50,44,14,45
endog,1337,2772,1745,2307,1652
endou2,8,14,2,0,41
endou,6,6,6,10,6
endouc,68,20,35,22,47
eng,5501,4942,4904,5373,4832
engase,504,714,302,326,347
engl,593,924,601,895,423
enkd1,6,9,3,1,8
eno1a,10888,9714,9928,7534,10094
eno1b,17,16,14,4,10
eno3,44,20,122,32,75
eno4,0,2,4,8,4
enoph1,584,705,685,693,1370
enox2,351,882,378,547,736
enpep,10,10,14,6,8
enpp1,240,225,256,360,265
enpp2,49,31,29,61,66
enpp4,2180,1663,1281,1075,1203
enpp5,326,817,324,461,512
enpp6,39,19,30,10,21
ensab,574,1023,621,412,967
entpd1,129,83,46,32,86
entpd3,266,178,328,148,62
entpd4,2401,3595,1694,2605,2935
entpd5a,63,15,58,24,27
eny2,2047,1994,2867,1713,1739
eogt,273,364,226,311,558
eomesa,1580,2179,898,2136,1678
eomesb,4,4,10,2,8
ep300b,514,928,476,468,446
ep400,782,684,586,629,623
epas1b,321,496,446,608,568
epb41a,1849,697,824,777,1466
epb41l3b,1818,2287,1860,2102,1620
epb41l4b,162,261,64,85,184
epb41l5,958,1088,665,1236,1080
epc1b,1003,1509,1134,1149,910
epcam,18566,18853,11813,14226,15579
epd,380,13,26,17,28
epdr1,1792,1892,1021,1861,1923
epg5,282,320,350,258,295
epgn,40,13,46,22,29
epha2a,1422,1070,1232,1387,1854
epha2b,1695,1411,1296,602,934
epha3,1484,1262,179,647,1425
epha4b,4,2,4,153,0
epha4l,22,28,62,6,17
epha6,618,738,610,488,750
epha7,1885,1391,1727,1118,1729
ephb2b,164,497,208,235,234
ephb4a,20,6,28,15,14
ephb6,0,2,0,7,0
ephx1,85,161,53,52,98
ephx4,68,38,47,60,81
ephx5,54,88,106,122,64
epm2a,693,528,572,452,322
epn1a,4578,5468,3769,3786,5150
epn2,2541,2666,1901,2025,3027
epn3a,171,211,132,103,123
epn3b,170,100,85,17,94
epoa,337,100,224,118,280
epor,25,19,13,15,22
eppk1,68,55,172,135,357
eprs1,1737,2325,1753,1688,1923
eps15,2496,2887,2550,3314,2703
eps15l1a,278,252,188,190,288
eps8a,178,283,162,232,214
eps8l2,5,12,2,13,10
eps8l3a,2,0,6,4,0
eps8l3b,7,4,12,6,6
epx,65,52,65,14,168
epyc,2,4,0,2,16
eral1,710,828,523,558,579
